key	value
T=1.445195 || screenImage=frame18.png	[{"center":"(727.0,398.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"55.74806","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(5,14)"}]
T=1.652243 || screenImage=frame20.png	[{"center":"(1302.5,452.0)","visible":"true","name":"WorkerBarrier 1","cameraDistance":"62.16869","viewed":"3.0413812651491097","rotationSpeed":"0","translationSpeed":"0.619784255354837","size":"(34,19)"}]
T=1.7554783333333335 || screenImage=frame21.png	[{"center":"(1319.5,441.0)","visible":"true","name":"Yellow Worker 3","cameraDistance":"71.31499","viewed":"4.924428900898052","rotationSpeed":"0","translationSpeed":"0","size":"(12,23)"}]
T=100.0127 || screenImage=frame1409.png	[{"center":"(955.5,403.0)","visible":"true","name":"ExcavatorC-03","cameraDistance":"38.78859","viewed":"4.716990566028302","rotationSpeed":"0","translationSpeed":"0","size":"(176,95)"}]
T=101.1057 || screenImage=frame1428.png	[{"center":"(1008.5,392.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"30.37847","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(12,19)"}]
T=101.1418 || screenImage=frame1428.png	[{"center":"(1008.5,392.0)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"30.37847","viewed":"0.5","rotationSpeed":"0","translationSpeed":"0","size":"(12,19)"}]
T=105.4448 || screenImage=frame1502.png	[{"center":"(713.5,361.0)","visible":"true","name":"powerline (2)","cameraDistance":"51.91046","viewed":"3.640054944640259","rotationSpeed":"0","translationSpeed":"0","size":"(28,11)"}]
T=120.2932 || screenImage=frame1757.png	[{"center":"(669.5,440.5)","visible":"true","name":"WorkerSmoking 3","cameraDistance":"14.28183","viewed":"1.5811388300841898","rotationSpeed":"0","translationSpeed":"0","size":"(26,58)"}]
T=13.25897 || screenImage=frame151.png	[{"center":"(1225.5,436.0)","visible":"true","name":"ExcavatorD-01","cameraDistance":"46.90088","viewed":"4.272001872658765","rotationSpeed":"10.7455355615585","translationSpeed":"0","size":"(160,81)"}]
T=144.8389 || screenImage=frame2162.png	[{"center":"(1018.0,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.65744","viewed":"1.8027756377319946","rotationSpeed":"0","translationSpeed":"0","size":"(43,120)"}]
T=144.85865 || screenImage=frame2162.png	[{"center":"(1018.0,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.65744","viewed":"1.5","rotationSpeed":"0","translationSpeed":"0","size":"(43,120)"}]
T=144.8784 || screenImage=frame2162.png	[{"center":"(1018.0,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.65744","viewed":"3.905124837953327","rotationSpeed":"0","translationSpeed":"0","size":"(43,120)"}]
T=144.99196666666666 || screenImage=frame2164.png	[{"center":"(1002.5,270.5)","visible":"true","name":"Crane-01","cameraDistance":"25.58786","viewed":"3.5355339059327378","rotationSpeed":"0","translationSpeed":"0","size":"(44,120)"}]
T=150.30841111111113 || screenImage=frame2246.png	[{"center":"(904.5,384.5)","visible":"true","name":"Bulldozer B10 N080211","cameraDistance":"50.76735","viewed":"4.743416490252569","rotationSpeed":"0","translationSpeed":"0.269330212634483","size":"(56,30)"}]
T=151.6529 || screenImage=frame2266.png	[{"center":"(929.0,412.0)","visible":"true","name":"WorkerBarrier 1","cameraDistance":"24.35165","viewed":"4.47213595499958","rotationSpeed":"0","translationSpeed":"0.470632269631285","size":"(41,33)"}]
T=151.8946 || screenImage=frame2270.png	[{"center":"(973.5,374.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.17284","viewed":"2.9154759474226504","rotationSpeed":"0","translationSpeed":"0.20104067420326","size":"(98,44)"}]
T=152.6457 || screenImage=frame2281.png	[{"center":"(980.5,375.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.26498","viewed":"4.6097722286464435","rotationSpeed":"0","translationSpeed":"0.254686989807554","size":"(98,43)"}]
T=152.7124 || screenImage=frame2282.png	[{"center":"(981.0,374.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.27478","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0.234984948610231","size":"(99,44)"}]
T=152.7633 || screenImage=frame2283.png	[{"center":"(982.0,375.5)","visible":"true","name":"Truck N260213","cameraDistance":"56.28537","viewed":"3.0413812651491097","rotationSpeed":"0","translationSpeed":"0.251817814432169","size":"(99,42)"}]
T=153.2317 || screenImage=frame2289.png	[{"center":"(1024.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.972","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"}]
T=153.2628 || screenImage=frame2290.png	[{"center":"(1025.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.97662","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"}]
T=153.29305 || screenImage=frame2290.png	[{"center":"(1037.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.008","viewed":"3.5355339059327378","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.308175 || screenImage=frame2291.png	[{"center":"(1038.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.01232","viewed":"3.8078865529319543","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.4194 || screenImage=frame2292.png	[{"center":"(1039.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.01661","viewed":"4.949747468305833","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.43 || screenImage=frame2292.png	[{"center":"(1039.5,388.5)","visible":"true","name":"Yellow Worker 9","cameraDistance":"78.01661","viewed":"2.9154759474226504","rotationSpeed":"0","translationSpeed":"0","size":"(6,14)"}]
T=153.60186666666667 || screenImage=frame2295.png	[{"center":"(1029.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"47.99875","viewed":"3.2015621187164243","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"}]
T=153.6215 || screenImage=frame2295.png	[{"center":"(1018.5,392.5)","visible":"true","name":"White worker 1","cameraDistance":"73.9376","viewed":"3.5355339059327378","rotationSpeed":"0","translationSpeed":"0","size":"(4,6)"}]
T=153.6855 || screenImage=frame2296.png	[{"center":"(1030.0,393.5)","visible":"true","name":"Worker Walker 5","cameraDistance":"48.00352","viewed":"3.0413812651491097","rotationSpeed":"0","translationSpeed":"0","size":"(11,20)"}]
T=154.437275 || screenImage=frame2308.png	[{"center":"(1007.0,376.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.5897","viewed":"3.0","rotationSpeed":"0","translationSpeed":"0.338991900575169","size":"(103,43)"}]
T=154.461625 || screenImage=frame2308.png	[{"center":"(1007.0,376.0)","visible":"true","name":"Truck N260213","cameraDistance":"56.5897","viewed":"3.605551275463989","rotationSpeed":"0","translationSpeed":"0.338991900575169","size":"(103,43)"}]
