key	value
T=0.340000064 || screenImage=frame5.png	[{"center":"(830.0,396.5)","visible":"true","name":"BMW850i","cameraDistance":"83.72978","viewed":"19.90602923739438","rotationSpeed":"0","translationSpeed":"0","size":"(9,8)"}]
T=0.6137469 || screenImage=frame8.png	[{"center":"(803.0,398.0)","visible":"true","name":"Car02","cameraDistance":"81.59708","viewed":"19.235384061671343","rotationSpeed":"0","translationSpeed":"0","size":"(11,5)"}]
T=0.63155814 || screenImage=frame9.png	[{"center":"(803.0,398.0)","visible":"true","name":"Car02","cameraDistance":"81.48973","viewed":"5.830951894845301","rotationSpeed":"0","translationSpeed":"0","size":"(11,5)"},{"center":"(795.5,399.5)","visible":"true","name":"Honda01","cameraDistance":"75.09734","viewed":"7.905694150420948","rotationSpeed":"0","translationSpeed":"0","size":"(24,8)"}]
T=1.0676207500000001 || screenImage=frame13.png	[{"center":"(729.0,349.5)","visible":"true","name":"powerline (1)","cameraDistance":"43.2905","viewed":"16.560495161679196","rotationSpeed":"0","translationSpeed":"0","size":"(53,102)"}]
T=1.0929525 || screenImage=frame14.png	[{"center":"(728.0,398.0)","visible":"true","name":"Yellow Worker 1","cameraDistance":"56.19403","viewed":"19.4164878389476","rotationSpeed":"0","translationSpeed":"0","size":"(5,15)"}]
T=1.1182842499999999 || screenImage=frame14.png	[{"center":"(728.0,398.0)","visible":"true","name":"Yellow Worker 1","cameraDistance":"56.19403","viewed":"18.384776310850235","rotationSpeed":"0","translationSpeed":"0","size":"(5,15)"}]
T=1.143616 || screenImage=frame14.png	[{"center":"(699.0,406.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"42.06066","viewed":"14.534441853748634","rotationSpeed":"0","translationSpeed":"0","size":"(63,20)"}]
T=1.1648955714285714 || screenImage=frame14.png	[{"center":"(699.0,406.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"42.06066","viewed":"19.72941965694886","rotationSpeed":"0","translationSpeed":"0","size":"(63,20)"}]
T=1.2074547142857142 || screenImage=frame15.png	[{"center":"(698.5,406.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.94872","viewed":"18.069310999592652","rotationSpeed":"0","translationSpeed":"0","size":"(64,20)"}]
T=1.223074 || screenImage=frame16.png	[{"center":"(698.0,406.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.8376","viewed":"15.20690632574555","rotationSpeed":"0","translationSpeed":"0","size":"(63,20)"}]
T=1.29439 || screenImage=frame16.png	[{"center":"(698.0,406.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.8376","viewed":"11.629703349613008","rotationSpeed":"0","translationSpeed":"0","size":"(63,20)"}]
T=1.365706 || screenImage=frame17.png	[{"center":"(697.5,405.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.7319","viewed":"8.74642784226795","rotationSpeed":"0","translationSpeed":"0","size":"(64,22)"}]
T=1.3789541666666667 || screenImage=frame17.png	[{"center":"(697.5,405.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.7319","viewed":"13.285330255586423","rotationSpeed":"0","translationSpeed":"0","size":"(64,22)"}]
T=1.3922023333333333 || screenImage=frame17.png	[{"center":"(697.5,405.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.7319","viewed":"13.946325680981353","rotationSpeed":"0","translationSpeed":"0","size":"(64,22)"}]
T=1.4054505000000002 || screenImage=frame17.png	[{"center":"(697.5,405.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.7319","viewed":"16.140012391568973","rotationSpeed":"0","translationSpeed":"0","size":"(64,22)"}]
T=1.4186986666666668 || screenImage=frame17.png	[{"center":"(697.5,405.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.7319","viewed":"16.80773631397161","rotationSpeed":"0","translationSpeed":"0","size":"(64,22)"}]
T=1.4319468333333334 || screenImage=frame17.png	[{"center":"(727.0,397.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"55.86068","viewed":"14.705441169852742","rotationSpeed":"0","translationSpeed":"0","size":"(5,16)"},{"center":"(697.5,405.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.7319","viewed":"19.912307751739878","rotationSpeed":"0","translationSpeed":"0","size":"(64,22)"}]
T=1.445195 || screenImage=frame18.png	[{"center":"(727.0,398.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"55.74806","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(5,14)"}]
T=1.4747103333333333 || screenImage=frame18.png	[{"center":"(727.0,398.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"55.74806","viewed":"8.32165848854662","rotationSpeed":"0","translationSpeed":"0","size":"(5,14)"}]
T=1.5042256666666667 || screenImage=frame18.png	[{"center":"(830.0,396.5)","visible":"true","name":"BMW850i","cameraDistance":"82.25692","viewed":"6.020797289396148","rotationSpeed":"0","translationSpeed":"0","size":"(9,8)"}]
